control_rep1	control_rep2	NPHP1_rep1	NPHP1_rep2	NPHP1_rep1_DMSO	NPHP1_rep2_DMSO	NPHP1_rep1_AG556	NPHP1_rep2_AG556	NPHP1_rep1_ALP	NPHP1_rep2_ALP
ENSG00000000003	2446	2111	1870	1241	2166	1403	1671	1539	1607	1174
ENSG00000000005	0	0	0	0	0	0	0	2	0	0
ENSG00000000419	1054	2438	2316	1421	1410	2027	1137	1484	1307	1809
ENSG00000000457	296	317	746	493	831	237	691	559	647	406
ENSG00000000460	148	348	846	298	221	52	226	199	153	90
ENSG00000000938	64	4	0	1	0	2	1	0	0	4
ENSG00000000971	5003	2746	53	162	523	450	133	325	1435	415
ENSG00000001036	3256	4267	4535	2967	2093	6825	2209	2824	3203	4890
ENSG00000001084	1566	1250	3063	3422	9149	535	6814	6276	10175	1945
ENSG00000001167	1613	1653	3820	2788	2689	705	2297	2679	2444	1198
ENSG00000001460	293	482	695	517	504	468	435	446	485	471
ENSG00000001461	1765	2321	3764	1870	3962	1803	3535	2968	3085	1259
ENSG00000001497	2310	2498	2658	1946	994	3776	1020	1363	1097	2248
ENSG00000001561	411	516	675	249	769	254	885	628	504	90
ENSG00000001617	2479	2047	1908	2059	1592	4579	1283	2031	1832	2934
ENSG00000001626	198	33	166	1108	600	25	507	259	612	133
ENSG00000001629	2952	3903	6724	4548	9251	1948	7075	6543	6460	2715
ENSG00000001630	15	97	180	176	54	0	119	118	122	16
ENSG00000001631	177	170	368	278	348	191	407	328	244	378
ENSG00000002016	410	255	680	652	493	177	631	434	473	868
ENSG00000002079	8	35	29	13	15	34	13	16	12	17
ENSG00000002330	367	341	307	182	72	805	114	100	65	529
ENSG00000002549	3201	3982	3890	2619	2421	1417	2435	2550	2666	2423
ENSG00000002586	9152	17478	12556	11594	5784	22006	5016	5622	6390	23177
ENSG00000002587	1109	166	200	263	53	166	25	52	295	192
ENSG00000002726	9	10	3	0	0	0	0	0	0	0
ENSG00000002745	0	3	9	26	57	13	35	32	5	23
ENSG00000002746	10	18	8	0	0	1	6	11	21	9
ENSG00000002822	2052	1757	1919	1699	509	4598	563	940	871	2339
ENSG00000002834	18551	21149	25229	19101	9197	10557	6204	11577	11227	9354
ENSG00000002919	1402	1017	1316	956	748	1951	610	714	853	1027
ENSG00000002933	0	0	0	0	0	0	0	0	0	2
ENSG00000003056	2700	3953	4692	4017	3538	793	2601	4323	3609	1020
ENSG00000003096	2251	1180	3562	3251	2710	958	2496	1790	6606	2176
ENSG00000003137	0	7	1	2	0	3	2	10	3	12
ENSG00000003147	746	547	762	672	1056	1191	1434	1216	1124	2576
ENSG00000003249	1881	1162	386	686	222	1566	195	273	390	778
ENSG00000003393	1491	2228	3693	2921	3415	1530	3217	3350	3450	2006
ENSG00000003400	664	588	1286	1548	1738	719	1732	1265	1103	895
ENSG00000003402	4191	4604	10049	12448	16040	12063	9434	8152	13394	16815
ENSG00000003436	3866	6894	16081	17209	50791	6164	38066	24340	50449	19167
ENSG00000003509	672	547	858	857	836	1070	703	743	867	1443
ENSG00000003756	4274	1799	4252	4370	5641	3330	5416	3937	4067	7465
ENSG00000003987	89	47	74	47	200	141	99	58	116	75
ENSG00000003989	301	484	1985	5115	4759	130	3254	2899	20312	934
ENSG00000004059	5219	4767	5324	3403	1968	8596	1706	1841	1984	5600
ENSG00000004139	182	55	107	24	124	18	74	109	50	32
ENSG00000004142	6320	6241	6946	5342	3168	8102	3493	3927	4724	5634
ENSG00000004399	2022	2527	3260	3265	1965	1318	1774	2005	1854	1310
ENSG00000004455	4255	5650	6170	5116	4488	7068	4383	4255	3336	3760
ENSG00000004468	17	6	2	19	8	0	3	4	23	2
ENSG00000004478	3425	3001	3297	3083	1496	2958	1500	1875	2280	3296
ENSG00000004487	5233	6581	6934	3904	4376	5112	3646	3240	3696	3897
ENSG00000004534	4325	3036	4468	4481	1737	8142	2659	2962	3540	12741
ENSG00000004660	1702	1187	1096	814	431	927	500	500	273	761
ENSG00000004700	556	993	3139	1631	2764	211	2873	2178	2257	532
ENSG00000004766	983	1266	1875	1280	3331	632	2647	2105	2105	922
ENSG00000004776	28	230	80	11	49	72	65	51	39	85
ENSG00000004777	310	229	995	384	93	156	129	56	122	323
ENSG00000004779	1231	1178	1735	868	1408	1036	1159	894	1126	1131
ENSG00000004799	514	115	353	54	622	51	609	393	11789	594
ENSG00000004809	0	3	0	0	0	0	0	0	0	4
ENSG00000004838	58	44	106	26	64	14	46	12	16	29
ENSG00000004846	51	12	0	3	27	66	6	22	5	1
ENSG00000004848	0	0	0	0	0	0	0	0	0	2
ENSG00000004864	1866	2629	3595	2456	2978	1053	2270	2377	2953	1831
ENSG00000004866	399	618	694	442	452	352	660	642	426	397
ENSG00000004897	2291	4833	6817	3581	6391	2918	4893	5441	5218	2211
ENSG00000004939	15	0	2	1	0	3	0	0	0	4
ENSG00000004948	0	5	16	18	103	6	63	24	22	8
ENSG00000004961	1236	1720	1804	1325	1551	1566	1359	1367	1520	1106
ENSG00000004975	3065	2194	3770	2666	1487	922	1500	1596	1349	2106
ENSG00000005001	149	21	20	104	40	86	10	25	21	83
ENSG00000005007	7523	5909	6724	5173	3536	3063	2503	2982	3281	3094
ENSG00000005020	2692	4049	9337	4842	11798	1668	11317	7407	8367	2639
ENSG00000005022	6048	8890	11156	7206	7334	7256	7770	5435	8062	6541
ENSG00000005059	520	1530	1916	792	1201	866	854	819	562	1119
ENSG00000005073	1406	996	893	707	895	1095	907	905	671	878
ENSG00000005075	1638	1487	1880	1326	532	6462	541	718	630	3670
ENSG00000005100	1114	1686	2471	1863	1767	1226	1334	1498	1350	848
ENSG00000005102	5	9	0	0	0	0	0	0	0	3
ENSG00000005108	187	63	85	144	455	21	452	193	350	46
ENSG00000005156	871	1105	1672	1250	706	594	885	1206	1064	606
ENSG00000005175	758	1878	2032	1302	1819	958	1627	1595	1508	863
ENSG00000005187	978	144	126	200	513	76	434	277	977	162
ENSG00000005189	381	286	333	154	205	187	215	180	180	206
ENSG00000005194	3500	2461	2255	1627	2189	2382	2154	1534	1808	1956
ENSG00000005206	3077	1378	2491	2058	1026	4190	1324	1201	1335	5534
ENSG00000005238	2488	2087	1941	2190	1459	3785	732	1618	1770	2024
ENSG00000005243	672	737	813	509	416	2730	431	711	448	1510
ENSG00000005249	72	39	435	173	53	28	112	76	118	47
ENSG00000005302	1175	1341	2148	1418	2069	1590	1412	1432	1603	1547
ENSG00000005339	3754	3420	5639	3082	3412	993	5005	4119	3866	1485
ENSG00000005379	820	168	285	1028	382	467	482	377	386	1393
ENSG00000005381	0	2	7	4	2	74	6	14	22	41
ENSG00000005421	10	0	5	0	9	21	1	3	1	6
ENSG00000005436	424	511	1037	544	1511	511	1407	794	772	394
ENSG00000005448	1534	1994	2348	1987	677	4459	565	685	496	2514
ENSG00000005469	771	842	1402	1018	1710	1046	1208	1254	1243	980
ENSG00000005471	380	371	392	1160	733	623	501	719	237	244
ENSG00000005483	1853	2497	3837	2742	5324	958	5948	3960	3279	1272
ENSG00000005486	4546	2886	2643	2114	2758	6265	1635	2650	2790	3960
ENSG00000005513	11	0	6	57	48	21	21	7	4	3
ENSG00000005700	1983	3867	6754	6207	8345	2174	9060	7971	9314	2332
ENSG00000005801	922	880	1426	1212	1466	1462	1841	1291	1276	1467
ENSG00000005810	1283	1962	4298	2146	4839	677	5121	4505	3782	858
ENSG00000005812	1051	2150	2879	1343	3744	584	3089	1935	2119	754
ENSG00000005844	25	0	5	1	0	0	0	0	0	2
ENSG00000005882	1316	748	925	642	1390	346	1349	1195	1359	748
ENSG00000005884	126842	148573	192976	185538	56508	169399	37622	62947	84876	89695
ENSG00000005889	1087	1206	2195	1171	2501	678	2305	1680	1700	770
ENSG00000005893	8499	12345	12492	11263	24306	6066	17283	15119	18014	4129
ENSG00000005961	32	18	36	22	23	49	10	12	7	28
ENSG00000005981	0	0	5	0	12	0	2	1	6	4
ENSG00000006007	3930	3603	4966	3380	3784	2589	3675	3642	3618	1716
ENSG00000006015	2073	1667	2003	1359	236	7657	468	772	595	4226
ENSG00000006016	3	119	57	4	0	48	4	2	0	50
ENSG00000006025	1003	618	1079	922	480	1383	587	829	525	1242
ENSG00000006042	5577	3252	3205	3096	2210	3819	1656	2427	2607	3512
ENSG00000006047	57	28	228	494	226	28	143	43	42	126
ENSG00000006059	7	0	0	0	0	0	0	0	0	0
ENSG00000006062	1204	756	1552	859	416	719	460	406	402	721
ENSG00000006071	0	1	6	0	0	0	0	1	0	3
ENSG00000006116	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	21302	15762	5347	10274	2799	16048	2305	3290	4483	7466
ENSG00000006125	15649	26023	28090	18295	27373	12405	18227	20016	21498	6954
ENSG00000006128	4	8	3	0	0	0	8	23	28	70
ENSG00000006194	1688	1245	1313	1163	592	1791	534	729	803	1132
ENSG00000006210	3319	1198	1400	2107	653	2246	641	724	865	763
ENSG00000006282	5216	3305	7192	6147	4639	16159	4307	5270	4830	14470
ENSG00000006283	8	10	18	0	0	0	2	3	5	5
ENSG00000006327	17846	9040	14207	7779	1084	15022	708	1158	1815	10246
ENSG00000006377	0	0	0	0	0	0	0	0	0	2
ENSG00000006432	1081	1582	2405	2062	1420	1127	960	1741	1710	547
ENSG00000006451	2215	5135	3683	2360	3726	3927	2122	2999	2481	2282
ENSG00000006453	1538	2257	1662	1601	1394	2628	1064	1289	1015	2414
ENSG00000006459	288	316	849	1120	1589	113	1779	943	1079	162
ENSG00000006468	779	388	2456	1652	1639	245	2066	1940	1925	508
ENSG00000006530	857	1108	1615	1125	966	984	895	859	1458	1347
ENSG00000006534	2237	1523	2971	1752	2034	2287	1157	1164	3600	5372
ENSG00000006555	161	98	130	337	120	83	139	150	116	142
ENSG00000006576	475	939	1569	729	1471	335	1915	937	607	308
ENSG00000006606	0	2	0	0	0	0	0	0	0	1
ENSG00000006607	2613	2781	3414	1718	2677	1080	1716	1570	2644	953
ENSG00000006611	0	1	2	1	0	0	0	0	1	6
ENSG00000006625	111	353	380	208	224	1011	155	225	169	425
ENSG00000006634	143	759	1211	545	484	301	669	425	408	533
ENSG00000006638	153	192	59	106	48	179	23	108	39	118
ENSG00000006652	1958	2261	1961	1892	3916	2819	3018	2851	2994	3526
ENSG00000006659	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	648	806	1096	694	786	679	839	629	796	524
ENSG00000006704	4150	3014	3611	2608	2343	2916	1896	1700	2299	5406
ENSG00000006712	3732	3473	3525	2428	973	9204	1208	1671	1501	4727
ENSG00000006715	4155	2922	5319	3187	7721	2448	5231	4804	5169	2793
ENSG00000006740	145	79	109	66	66	128	63	68	28	19
ENSG00000006744	6065	5305	5109	4551	2987	8671	2608	3126	3639	5992
ENSG00000006747	2082	1627	6474	9287	13886	4499	6519	7918	16755	6199
ENSG00000006756	3070	2014	2544	2290	2660	2573	1768	1677	3151	2637
